OUTID,Birth,SEXTYPENAME,REGNAME,AREANAME,TERNAME,REGTYPENAME,TerTypeName,ClassProfileNAME,ClassLangName,EONAME,EOTYPENAME,EORegName,EOAreaName,EOTerName,EOParent,UkrTest,UkrTestStatus,UkrBall100,UkrBall12,UkrBall,UkrAdaptScale,UkrPTName,UkrPTRegName,UkrPTAreaName,UkrPTTerName,histTest,HistLang,histTestStatus,histBall100,histBall12,histBall,histPTName,histPTRegName,histPTAreaName,histPTTerName,mathTest,mathLang,mathTestStatus,mathBall100,mathBall12,mathBall,mathPTName,mathPTRegName,mathPTAreaName,mathPTTerName,physTest,physLang,physTestStatus,physBall100,physBall12,physBall,physPTName,physPTRegName,physPTAreaName,physPTTerName,chemTest,chemLang,chemTestStatus,chemBall100,chemBall12,chemBall,chemPTName,chemPTRegName,chemPTAreaName,chemPTTerName,bioTest,bioLang,bioTestStatus,bioBall100,bioBall12,bioBall,bioPTName,bioPTRegName,bioPTAreaName,bioPTTerName,geoTest,geoLang,geoTestStatus,geoBall100,geoBall12,geoBall,geoPTName,geoPTRegName,geoPTAreaName,geoPTTerName,engTest,engTestStatus,engBall100,engBall12,engDPALevel,engBall,engPTName,engPTRegName,engPTAreaName,engPTTerName,fraTest,fraTestStatus,fraBall100,fraBall12,fraDPALevel,fraBall,fraPTName,fraPTRegName,fraPTAreaName,fraPTTerName,deuTest,deuTestStatus,deuBall100,deuBall12,deuDPALevel,deuBall,deuPTName,deuPTRegName,deuPTAreaName,deuPTTerName,spaTest,spaTestStatus,spaBall100,spaBall12,spaDPALevel,spaBall,spaPTName,spaPTRegName,spaPTAreaName,spaPTTerName
af457870-6701-4a76-8a6c-2017bac0517a,2002,жіноча,Рівненська область,Сарненський район,с.Любиковичі,випускник закладу загальної середньої освіти 2020 року,село,Української філології,українська,Любиковицька загальноосвітня школа І-ІІІ ступенів Сарненської районної ради Рівненської області,середня загальноосвітня школа,Рівненська область,Сарненський район,с.Любиковичі,"Відділ освіти, молоді та спорту Сарненської районної державної адміністрації",Українська мова і література,Зараховано,165.0,9.0,69.0,0,Сарненська гімназія Сарненської районної ради Рівненської області,Рівненська область,Сарненський район,м.Сарни,Історія України,українська,Зараховано,109.0,6.0,28.0,Сарненський ліцей №2 Сарненської районної ради Рівненської області,Рівненська область,Сарненський район,м.Сарни,Математика,українська,Зараховано,124.0,5.0,16.0,Сарненський педагогічний коледж Рівненського державного гуманітарного університету,Рівненська область,Сарненський район,м.Сарни,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff389db7-68d9-4a0f-8eec-272e91e6747a,2002,жіноча,Луганська область,Луганська область,м.Сєвєродонецьк,Учень (слухач) закладу професійної (професійно-технічної) освіти,місто,Кваліфікований робітник,українська,Вище професійне училище № 92 м. Сєвєродонецька,вище професійне училище,Луганська область,м.Сєвєродонецьк,м.Сєвєродонецьк,Департамент освіти і науки Луганської обласної державної адміністрації,Українська мова і література,Не з’явився,,,,0,Середня загальноосвітня школа І-ІІІ ступенів № 18 міста Сєвєродонецька Луганської області,Луганська область,м.Сєвєродонецьк,м.Сєвєродонецьк,,,,,,,,,,,Математика,українська,Не з’явився,,,,Середня загальноосвітня школа І-ІІІ ступенів № 18 міста Сєвєродонецька Луганської області,Луганська область,м.Сєвєродонецьк,м.Сєвєродонецьк,,,,,,,,,,,,,,,,,,,,,Біологія,українська,Не з’явився,,,,Середня загальноосвітня школа І-ІІІ ступенів № 16 м.Сєвєродонецька Луганської області,Луганська область,м.Сєвєродонецьк,м.Сєвєродонецьк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0cdfa86a-2221-43d7-a384-31c06bcd2aa6,2003,жіноча,Тернопільська область,Збаразький район,с.Залужжя,випускник закладу загальної середньої освіти 2020 року,село,Української філології,українська,Залужанська загальноосвітня школа І-ІІІ ступенів Залужанської сільської ради Збаразького району Тернопільської області,середня загальноосвітня школа,Тернопільська область,Збаразький район,с.Залужжя,"Управління освіти, молоді та спорту Збаразької районної державної адміністрації",Українська мова і література,Не з’явився,,,,0,Збаразька загальноосвітня школа І-ІІІ ступенів №1 Збаразької міської ради Тернопільської області,Тернопільська область,Збаразький район,м.Збараж,Історія України,українська,Не з’явився,,,,Збаразька загальноосвітня школа І-ІІІ ступенів №2 імені Івана Франка Збаразької міської ради Тернопільської області,Тернопільська область,Збаразький район,м.Збараж,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Географія,українська,Не з’явився,,,,Збаразька загальноосвітня школа І-ІІІ ступенів №2 імені Івана Франка Збаразької міської ради Тернопільської області,Тернопільська область,Збаразький район,м.Збараж,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa12cadc-e3e8-4dc1-b861-949a95f57207,2002,чоловіча,Дніпропетровська область,м.Дніпро,Шевченківський район міста,Випускник минулих років,місто,,,,,,,,,Українська мова і література,Зараховано,140.0,,49.0,0,"Державний вищий навчальний заклад ""Український державний хіміко-технологічний університет""",Дніпропетровська область,м.Дніпро. Соборний район міста,Соборний район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,127.0,,,32.0,"Комунальний заклад освіти ""Спеціалізована середня загальноосвітня школа №9 з поглибленим вивченням англійської мови"" Дніпровської міської ради",Дніпропетровська область,м.Дніпро. Центральний район міста,Центральний район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8b4f4b39-f2aa-444d-8857-bc40e14f2c53,2003,жіноча,Івано-Франківська область,Івано-Франківська область,м.Івано-Франківськ,випускник закладу загальної середньої освіти 2020 року,місто,Історичний,українська,Ліцей №7 Івано-Франківської міської ради,середня загальноосвітня школа,Івано-Франківська область,м.Івано-Франківськ,м.Івано-Франківськ,Департамент освіти і науки Івано-Франківської міської ради,Українська мова і література,Зараховано,127.0,5.0,40.0,0,Ліцей імені Романа Шухевича Івано-Франківської міської ради,Івано-Франківська область,м.Івано-Франківськ,м.Івано-Франківськ,Історія України,українська,Зараховано,132.0,8.0,35.0,Ліцей №19 Івано-Франківської міської ради,Івано-Франківська область,м.Івано-Франківськ,м.Івано-Франківськ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Біологія,українська,Зараховано,143.0,,39.0,Ліцей №12 ім. Івана Франка Івано-Франківської міської ради,Івано-Франківська область,м.Івано-Франківськ,м.Івано-Франківськ,Географія,українська,Зараховано,149.0,7.0,48.0,Ліцей №25 Івано-Франківської міської ради,Івано-Франківська область,м.Івано-Франківськ,м.Івано-Франківськ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fc794b0-1c90-4953-b3a2-e0b71e672453,2003,чоловіча,Закарпатська область,Міжгірський район,с.Репинне,випускник закладу загальної середньої освіти 2020 року,село,Універсальний,українська,"Репинський навчально-виховний комплекс ""загальноосвітній навчальний заклад І-ІІІ ступенів - дошкільний навчальний заклад"" Міжгірської районної ради Закарпатської області",навчально-виховний комплекс,Закарпатська область,Міжгірський район,с.Репинне,Відділ освіти Міжгірської районної державної адміністрації,Українська мова і література,Зараховано,162.0,8.0,66.0,0,Міжгірська спеціалізована загальноосвітня школа І-ІІІ ступенів з поглибленим вивченням окремих предметів імені Августина Волошина Міжгірської районної ради Закарпатської області,Закарпатська область,Міжгірський район,смт Міжгір'я,Історія України,українська,Зараховано,147.0,8.0,42.0,Міжгірська спеціалізована загальноосвітня школа І-ІІІ ступенів з поглибленим вивченням окремих предметів імені Августина Волошина Міжгірської районної ради Закарпатської області,Закарпатська область,Міжгірський район,смт Міжгір'я,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,136.0,6.0,стандарт(академічний),37.0,Мукачівський ліцей №10 Мукачівської міської ради Закарпатської області,Закарпатська область,м.Мукачево,м.Мукачево,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0822cbc4-f538-43ac-b477-57e48d130e4a,2003,жіноча,Херсонська область,м.Херсон,Дніпровський район міста,Студент закладу вищої освіти,місто,Молодший спеціаліст,українська,Херсонський базовий медичний коледж Херсонської обласної ради,заклад вищої освіти,Херсонська область,м.Херсон. Дніпровський район міста,Дніпровський район міста,Міністерство охорони здоров'я України,Українська мова і література,Не з’явився,,,,0,Херсонська загальноосвітня школа I-III ступенів №4 Херсонської міської ради,Херсонська область,м.Херсон. Суворовський район міста,Суворовський район міста,,,,,,,,,,,Математика,українська,Не з’явився,,,,Херсонська загальноосвітня школа I-III ступенів №41 Херсонської міської ради,Херсонська область,м.Херсон. Суворовський район міста,Суворовський район міста,,,,,,,,,,,,,,,,,,,,,Біологія,українська,Не з’явився,,,,Херсонська спеціалізована школа I-III ступенів №52 з поглибленим вивченням української мови Херсонської міської ради,Херсонська область,м.Херсон. Дніпровський район міста,Дніпровський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25c0cfaa-d0ea-4404-ac63-3b08a8df2a93,2003,жіноча,Дніпропетровська область,м.Кривий Ріг,Тернівський район міста,випускник закладу загальної середньої освіти 2020 року,місто,Біолого-хімічний,українська,Криворізька загальноосвітня школа І-ІІІ ступенів № 27 Криворізької міської ради Дніпропетровської області,середня загальноосвітня школа,Дніпропетровська область,м.Кривий Ріг. Тернівський район міста,Тернівський район міста,Відділ освіти виконавчого комітету Тернівської районної у місті Кривому Розі ради,Українська мова і література,Зараховано,131.0,6.0,43.0,0,Криворізька загальноосвітня школа І-ІІI ступенів № 45 Криворізької міської ради Дніпропетровської області,Дніпропетровська область,м.Кривий Ріг. Тернівський район міста,Тернівський район міста,Історія України,українська,Зараховано,147.0,8.0,42.0,Криворізька загальноосвітня школа І-ІІI ступенів № 55 Криворізької міської ради Дніпропетровської області,Дніпропетровська область,м.Кривий Ріг. Тернівський район міста,Тернівський район міста,,,,,,,,,,,,,,,,,,,,,Хімія,українська,Зараховано,110.0,,17.0,"Криворізький коледж економіки та управління Державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""",Дніпропетровська область,м.Кривий Ріг. Покровський район міста,Покровський район міста,Біологія,українська,Зараховано,147.0,7.0,41.0,"Криворізький коледж економіки та управління Державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""",Дніпропетровська область,м.Кривий Ріг. Покровський район міста,Покровський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f212ceed-bc56-4f18-9d81-447344a2af93,2003,чоловіча,Сумська область,м.Суми,Зарічний район міста,випускник закладу загальної середньої освіти 2020 року,місто,Української філології,українська,"Комунальна установа Сумська загальноосвітня школа І - ІІІ ступенів № 27, м. Суми, Сумської області",середня загальноосвітня школа,Сумська область,м.Суми. Зарічний район міста,Зарічний район міста,Управління освіти і науки Сумської міської ради,Українська мова і література,Зараховано,159.0,9.0,64.0,0,Сумський державний педагогічний університет імені А.С.Макаренка (Корпус Б),Сумська область,м.Суми. Ковпаківський район міста,Ковпаківський район міста,Історія України,українська,Зараховано,139.0,7.0,38.0,Коледж Сумського національного аграрного університету,Сумська область,м.Суми. Ковпаківський район міста,Ковпаківський район міста,Математика,українська,Зараховано,145.0,7.0,25.0,Сумський коледж економіки і торгівлі,Сумська область,м.Суми. Ковпаківський район міста,Ковпаківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,146.0,,,42.0,Комунальна установа Сумська загальноосвітня школа І - ІІІ ступенів № 22 імені Ігоря Гольченка Сумської міської ради,Сумська область,м.Суми. Ковпаківський район міста,Ковпаківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f945771-c86b-44b9-85ff-364c86e91bd4,2003,жіноча,Херсонська область,Бериславський район,м.Берислав,Студент закладу вищої освіти,місто,Молодший спеціаліст,українська,Бериславський педагогічний коледж імені В.Ф. Беньковського Херсонського державного університету,заклад вищої освіти,Херсонська область,Бериславський район,м.Берислав,"Департамент освіти, науки та молоді Херсонської обласної державної адміністрації",Українська мова і література,Не з’явився,,,,0,Бериславський заклад повної загальної середньої освіти № 3 Бериславської районної ради Херсонської області,Херсонська область,Бериславський район,м.Берислав,Історія України,українська,Не з’явився,,,,Бериславський опорний заклад повної загальної середньої освіти Бериславської районної ради Херсонської області,Херсонська область,Бериславський район,м.Берислав,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Географія,українська,Не з’явився,,,,Гімназія Новокаховської міської ради,Херсонська область,м.Нова Каховка,м.Нова Каховка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caab1709-b01f-4ecf-bca2-52ff88b31c2e,2002,чоловіча,м.Київ,м.Київ,Оболонський район міста,Випускник минулих років,місто,,,,,,,,,Українська мова і література,Зараховано,179.0,,81.0,0,Школа І-ІІІ ступенів №245 Оболонського району м.Києва,м.Київ,м.Київ. Оболонський район міста,Оболонський район міста,,,,,,,,,,,Математика,українська,Зараховано,186.0,,50.0,Школа І-ІІІ ступенів №256 Оболонського району м.Києва,м.Київ,м.Київ. Оболонський район міста,Оболонський район міста,Фізика,українська,Зараховано,181.0,,49.0,"Загальноосвітній навчальний заклад І-ІІІ ступенів ""Середня загальноосвітня школа № 243"" Подільського району м. Києва",м.Київ,м.Київ. Подільський район міста,Подільський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3fcc21d5-2d48-4853-abe3-300ad4d3d2fd,2002,чоловіча,Дніпропетровська область,Дніпропетровська область,м.Павлоград,випускник закладу загальної середньої освіти 2020 року,місто,Технологічний,українська,Павлоградська загальноосвітня школа І-ІІІ ступенів № 7 Павлоградської міської ради Дніпропетровської області,середня загальноосвітня школа,Дніпропетровська область,м.Павлоград,м.Павлоград,Відділ освіти Павлоградської міської ради Дніпропетровської області,Українська мова і література,Не подолав поріг,0.0,3.0,16.0,0,Павлоградська загальноосвітня школа І-ІІІ ступенів № 15 Павлоградської міської ради Дніпропетровської області,Дніпропетровська область,м.Павлоград,м.Павлоград,Історія України,українська,Зараховано,113.0,6.0,29.0,Павлоградська загальноосвітня школа І-ІІІ ступенів № 15 Павлоградської міської ради Дніпропетровської області,Дніпропетровська область,м.Павлоград,м.Павлоград,Математика,українська,Не подолав поріг,0.0,3.0,8.0,Павлоградська загальноосвітня школа І-ІІІ ступенів № 20 Павлоградської міської ради Дніпропетровської області,Дніпропетровська область,м.Павлоград,м.Павлоград,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,128.0,,38.0,Павлоградська загальноосвітня школа І-ІІІ ступенів № 5 Павлоградської міської ради Дніпропетровської області,Дніпропетровська область,м.Павлоград,м.Павлоград,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
